"Reference","Qty","Value","Footprint","Manufacturer","Manufacturer PN","PCB footprint","Specification"
"U9","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U8","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U7","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U6","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U5","1","LM3940","bldc_1:TO-220-3","Texas Instruments","LM3940IT-3.3/NOPB","TO-220-3","LDO Voltage Regulators"
"U4","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U3","1","UCC23513","","Texas Instruments","UCC23513DWYR","SOIC-6"," 14 V to 33 V, 5A, 750mW, -45 deg C to +125 deg C"
"U2","1","7805","bldc_1:TO-220-3","TEXAS INSTRUMENTS","LM7805CT/NOPB","TO-220-3",""
"U1","1","DQD6","","CUI Inc","DQD6-24-S12","DQD6","500mA,O/P-6W,1500Vdc,-48~80DEG C"
"TP18","1","TestPoint","","","","",""
"TP17","1","TestPoint","","","","",""
"TP16","1","TestPoint","","","","",""
"TP15","1","TestPoint","","","","",""
"TP14","1","TestPoint","","","","",""
"TP13","1","TestPoint","","","","",""
"TP12","1","TestPoint","","","","",""
"TP11","1","TestPoint","","","","",""
"TP10","1","TestPoint","","","","",""
"TP9","1","TestPoint","","","","",""
"TP8","1","TestPoint","","","","",""
"TP7","1","TestPoint","","","","",""
"TP6","1","TestPoint","","","","",""
"TP5","1","TestPoint","","","","",""
"TP4","1","TestPoint","","","","",""
"TP3","1","TestPoint","","","","",""
"TP2","1","TestPoint","","","","",""
"TP1","1","TestPoint","","","","",""
"R54","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R53","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R52","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R51","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R50","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R49","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R48","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R47","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R46","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R45","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R44","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R43","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R42","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R41","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R40","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R39","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R38","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R37","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R36","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R35","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R34","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R33","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R32","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R31","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R30","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R29","1","0R","","YAGEO","RC0603JR-070RL","R0603","75V, 100mW, 5% tolerance, -55 deg C to +125 deg C"
"R28","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R27","1","30R","","YAGEO","RC1206FR-0730RL","R1206","200V, 250mW, 1% tolerance, -55 deg C to +155 deg C"
"R26","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R25","1","120R","","YAGEO","RC0603FR-07120RL","R0603","75V, 100mW, 1% tolerance, -55 deg C to +125 deg C "
"R12","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R11","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R10","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R9","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R8","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R7","1","2.2K","","Panasonic","ERJ-2RKF2201X","R0402","50V,100mW,1% tolerance,-55 to +155 DEG C"
"R6","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"R5","1","8.2k","","Bourns","CR0603-FX-8201ELF","R0603"," 8.2K ohm, 1% tolerance, 100mW, 75V, -55 to +155 DEG C"
"R4","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
